Rank	Inst
308	korea maritime and ocean university,busan,KR
309	donga university,busan,KR
310	korea aerospace university,goyang,KR
311	hanshin university,osan,KR
312	kookmin university,seoul,KR
313	sunmoon university,asan,KR
314	inje university,gimhae,KR
315	keimyung university,daegu,KR
316	daejeon university,daejeon,KR
317	catholic university of pusan,busan,KR
318	honam university,gwangju,KR
319	gwangju institute of science and technology,gwangju,KR
320	changwon national university,changwon,KR
321	mokpo national university,muan,KR
322	yeungnam university,gyeongsan,KR
323	wonkwang university,iksan,KR
324	kyung hee university,yongin,KR
325	sangmyung university,seoul,KR
326	gangneung-wonju national university,gangneung,KR
327	yonsei university,wonju,KR
328	ulsan university,ulsan,KR
329	kunsan national university,kunsan,KR
330	kyonggi university,suwon,KR
331	hoseo university,cheonan,KR
332	ajou university,suwon,KR
333	kongju national university,kongju,KR
334	hankuk university of foreign studies,yongin,KR
335	seoul national university of science and technology,seoul,KR
336	kumoh national institution of technology,gumi,KR
337	chungnam national university,daejeon,KR
338	dong eui university,busan,KR
339	ulsan national institute of science and technology,ulsan,KR
340	hallym university,chuncheon,KR
341	sungkyunkwan university,suwon,KR
342	hanyang university,ansan,KR
343	seoul womens university,seoul,KR
344	pusan national university,pusan,KR
345	konkuk university,seoul,KR
346	dongguk university,seoul,KR
347	hongik university,seoul,KR
348	korea university of technology and education,cheonan,KR
349	kwangwoon university,seoul,KR
350	incheon national university,incheon,KR
351	dankook university,yongin,KR
352	sejong university,seoul,KR
