0	1
university of southern california,los angeles,US	hankuk university of foreign studies,seoul,KR
louisiana state university,baton rouge,US	chungbuk national university,cheongju,KR
cornell university,ithaca,US	chungnam national university,daejeon,KR
cornell university,ithaca,US	ajou university,suwon,KR
cornell university,ithaca,US	yonsei university,seoul,KR
cornell university,ithaca,US	yonsei university,seoul,KR
cornell university,ithaca,US	yonsei university,seoul,KR
cornell university,ithaca,US	ewha womans university,seoul,KR
cornell university,ithaca,US	ewha womans university,seoul,KR
cornell university,ithaca,US	kyung hee university,yongin,KR
friedrich schiller university,jena,DE	chungbuk national university,cheongju,KR
kyung hee university,seoul,KR	chungbuk national university,cheongju,KR
kyung hee university,seoul,KR	chungnam national university,daejeon,KR
kyung hee university,seoul,KR	gyeongsang national university,jinju,KR
kyung hee university,seoul,KR	kyung hee university,seoul,KR
yonsei university,seoul,KR	chungnam national university,daejeon,KR
yonsei university,seoul,KR	changwon national university,changwon,KR
yonsei university,seoul,KR	pai chai university,daejeon,KR
yonsei university,seoul,KR	kyungpook national university,daegu,KR
yonsei university,seoul,KR	yonsei university,seoul,KR
yonsei university,seoul,KR	yonsei university,seoul,KR
yonsei university,seoul,KR	yonsei university,seoul,KR
yonsei university,seoul,KR	ewha womans university,seoul,KR
yonsei university,seoul,KR	gyeongsang national university,jinju,KR
yonsei university,seoul,KR	kyung hee university,seoul,KR
yonsei university,seoul,KR	boston university,boston,US
yonsei university,seoul,KR	korea university,seoul,KR
chungnam national university,daejeon,KR	chosun university,gwangju,KR
chungnam national university,daejeon,KR	pai chai university,daejeon,KR
chungnam national university,daejeon,KR	gyeongsang national university,jinju,KR
chungnam national university,daejeon,KR	keimyung university,daegu,KR
tufts university,medford,US	pai chai university,daejeon,KR 
tufts university,medford,US	kyung hee university,seoul,KR
university of california,davis,US	chungnam national university,daejeon,KR
university of california,davis,US	chung-ang university,seoul,KR
university of california,davis,US	ajou university,suwon,KR
university of california,davis,US	yonsei university,seoul,KR
university of california,davis,US	yonsei university,seoul,KR
university of california,davis,US	ewha womans university,seoul,KR
university of california,davis,US	mokpo national university,muan,KR
university of california,davis,US	korea university,seoul,KR
massachusetts institute of technology,cambridge,US	chungnam national university,daejeon,KR
massachusetts institute of technology,cambridge,US	sungshin women’s university,seoul,KR
massachusetts institute of technology,cambridge,US	ewha womans university,seoul,KR
osaka university,osaka,JP	chungnam national university,daejeon,KR
osaka university,osaka,JP	keimyung university,daegu,KR
hannam university,daejeon,KR	hannam university,daejeon,KR
hannam university,daejeon,KR	hannam university,daejeon,KR
university of tokyo,tokyo,JP	hannam university,daejeon,KR
university of tokyo,tokyo,JP	chung-ang university,seoul,KR
university of tokyo,tokyo,JP	chonnam national university,gwangju,KR
university of tokyo,tokyo,JP	sejong university,seoul,KR
university of tokyo,tokyo,JP	gangneung-wonju national university,gangneung,KR
university of tokyo,tokyo,JP	korea university,seoul,KR
kangwon national university,chuncheon,KR	hannam university,daejeon,KR
kangwon national university,chuncheon,KR	sangji university,wonju,KR
kangwon national university,chuncheon,KR	gyeongsang national university,jinju,KR
inha university,incheon,KR	hannam university,daejeon,KR
inha university,incheon,KR	gangneung-wonju national university,gangneung,KR
pusan national university,busan,KR	changwon national university,changwon,KR
pusan national university,busan,KR	chung-ang university,seoul,KR
pusan national university,busan,KR	jeju national university,jeju,KR
pusan national university,busan,KR	chonnam national university,gwangju,KR
pusan national university,busan,KR	kongju national university,gongju,KR
pusan national university,busan,KR	kunsan national university,gunsan,KR
pusan national university,busan,KR	kyung hee university,seoul,KR
university of north carolina at chapel hill,chapel hill,US	kyung hee university,seoul,KR
university of north carolina at chapel hill,chapel hill,US	gyeongsang national university,jinju,KR
university of north carolina at chapel hill,chapel hill,US	inha university,incheon,KR
university of north carolina at chapel hill,chapel hill,US	korea university,seoul,KR
sungkyunkwan university,suwon,KR	jeonbuk national university,jeonju,KR
sungkyunkwan university,suwon,KR	"incheon national university,_x0008_incheon,KR
"
sungkyunkwan university,suwon,KR	gangneung-wonju national university,gangneung,KOREA
university of massachusetts amherst,amherst,US	yonsei university,seoul,KR
florida state university,tallahassee,US	pohang university of science and technology,pohang,KR
florida state university,tallahassee,US	pohang university of science and technology,pohang,KR
university of london,london,UK	pohang university of science and technology,pohang,KR
california institute of technology,pasadena,US	pohang university of science and technology,pohang,KR
california institute of technology,pasadena,US	pohang university of science and technology,pohang,KR
california institute of technology,pasadena,US	seoul national university,seoul,KR
rutgers university,new brunswick,US	university of texas southwestern medical center,dallas,US
rutgers university,new brunswick,US	chung-ang university,anseong,KR
rutgers university,new brunswick,US	yonsei university,seoul,KR
rutgers university,new brunswick,US	daegu university,gyeongsan,KR
rutgers university,new brunswick,US	hallym university,chuncheon,KR
university of texas southwestern medical center,dallas,US	seoul national university,seoul,KR
university of texas southwestern medical center,dallas,US	seoul national university,seoul,KR
university of virginia,charlottesville,US	pohang university of science and technology,pohang,KR
harvard university,cambridge,US	pohang university of science and technology,pohang,KR
harvard university,cambridge,US	university of maryland,baltimore,US
harvard university,cambridge,US	seoul national university,seoul,KR
harvard university,cambridge,US	korea advanced institute of science and technology,daejeon,KR
university of maryland,baltimore,US	yonsei university,seoul,KR
weizmann institute of science,rehovot,IL	gwangju institute of science and technology,gwangju,KR
state university of new york,new york,US	pohang university of science and technology,pohang,KR
state university of new york,new york,US	seoul national university,seoul,KR
state university of new york,new york,US	university of ulsan,ulsan,KR
state university of new york,new york,US	korea university,seoul,KR
state university of new york,new york,US	korea university,seoul,KR
university of california,los angeles,US	pohang university of science and technology,pohang,KR
university of california,los angeles,US	hallym university,chuncheon,KR
gyeongsang national university,jinju,KR	gyeongsang national university,jinju,KR
gyeongsang national university,jinju,KR	gyeongsang national university,jinju,KR
gyeongsang national university,jinju,KR	gyeongsang national university,jinju,KR
gyeongsang national university,jinju,KR	gyeongsang national university,jinju,KR
gyeongsang national university,jinju,KR	wonkwang university,iksan,KR
university of maryland,college park,US	sangmyung university,seoul,KR
the ohio state university,columbus,US	chung-ang university,seoul,KR
the ohio state university,columbus,US	jeju national university,jeju,KR
the ohio state university,columbus,US	university of seoul,seoul,KR
the ohio state university,columbus,US	yonsei university,seoul,KR
the ohio state university,columbus,US	yonsei university,seoul,KR
the ohio state university,columbus,US	mokpo national university,muan,KR
university of manchester,manchester,UK	chung-ang university,anseong,KR
michigan state university,east lansing,US	chung-ang university,anseong,KR
michigan state university,east lansing,US	university of seoul,seoul,KR
indiana state university,terre haute,US	chung-ang university,seoul,KR
wayne state university,detroit,US	chung-ang university,seoul,KR
wayne state university,detroit,US	university of ulsan,ulsan,KR
ajou university,suwon,KR	chung-ang university,seoul,KR
ajou university,suwon,KR	yonsei university,seoul,KR
ajou university,suwon,KR	kyung hee university,yongin,KR
university of nebraska-lincoln,lincoln,US	chung-ang university,seoul,KR
university of nebraska-lincoln,lincoln,US	korea university,seoul,KR
university of nebraska-lincoln,lincoln,US	korea university,seoul,KR
the catholic university of korea,seoul,KR	chung-ang university,seoul,KR
the university of texas at austin,austin,US	university of alaska anchorage,anchorage ,US
the university of texas at austin,austin,US	ajou university,suwon,KR
the university of texas at austin,austin,US	yonsei university,seoul,KR
the university of texas at austin,austin,US	hallym university,chuncheon,KR
the university of texas at austin,austin,US	ewha womans university,seoul,KR
the university of texas at austin,austin,US	university of virginia,charlottesville,US
the university of texas at austin,austin,US	kyung hee university,seoul,KR
the university of texas at austin,austin,US	korea university,seoul,KR
the university of texas at austin,austin,US	yeungnam university,gyeongsan,KR
chosun university,gwangju,KR	chosun university,gwangju,KR
the university of tennessee,knoxville,US	pukyong national university,busan,KR
the university of tennessee,knoxville,US	gangneung-wonju national university,gangneung,KR
hanyang university,seoul,KR	chosun university,gwangju,KR
hanyang university,seoul,KR	university of illinois at urbana-champaign,champaign,US
hanyang university,seoul,KR	sangmyung university,seoul,KR
hanyang university,seoul,KR	sangmyung university,seoul,KR
hanyang university,seoul,KR	korea university,seoul,KR
jeju national university,jeju,KR	jeju national university,jeju,KR
chonnam national university,gwangju,KR	jeju national university,jeju,KR
chonnam national university,gwangju,KR	chonnam national university,gwangju,KR
chonnam national university,gwangju,KR	chonnam national university,gwangju,KR
chonnam national university,gwangju,KR	chonnam national university,gwangju,KR
chonnam national university,gwangju,KR	sunchon national university,suncheon,KR
chonnam national university,gwangju,KR	pukyong national university,busan,KR
texas a&m university,college station,US	jeju national university,jeju,KR
texas a&m university,college station,US	jeonbuk national university,jeonju,KR
texas a&m university,college station,US	sungshin women’s university,seoul,KR
texas a&m university,college station,US	ajou university,suwon,KR
texas a&m university,college station,US	yonsei university,seoul,KR
texas a&m university,college station,US	yonsei university,seoul,KR
texas a&m university,college station,US	ewha womans university,seoul,KR
texas a&m university,college station,US	dongguk university,gyeongju,KR
texas a&m university,college station,US	kyung hee university,yongin,KR
texas a&m university,college station,US	seoul national university,seoul,KR
university of the ryukyus,nishihara,JP	jeju national university,jeju,KR
virginia polytechnic institute and state university,blacksburg,US	pai chai university,daejeon,KR
university of western,london,CA 	chonnam national university,gwangju,KR
ehime university,matsuyama,JP	chonnam national university,gwangju,KR
ehime university,matsuyama,JP	kyung hee university,seoul,KR
city of hope national medical center,duarte,US	chonnam national university,gwangju,KR
konkuk university,seoul,KR	chonnam national university,gwangju,KR
konkuk university,seoul,KR	"incheon national university,_x0008_incheon,KR
"
purdue university,west lafayette,US	chonnam national university,gwangju,KR
purdue university,west lafayette,US	yonsei university,seoul,KR
purdue university,west lafayette,US	sogang university,seoul,KR
illinois state university,normal,US	chonnam national university,gwangju,KR
oregon state university,corvallis,US	chonnam national university,gwangju,KR
oregon state university,corvallis,US	dongguk university,gyeongju,KR
university of wisconsin-madison,madison,US	chonnam national university,gwangju,KR
university of wisconsin-madison,madison,US	seoul national university,seoul,KR
university of wisconsin-madison,madison,US	seoul national university,seoul,KR
university of wisconsin-madison,madison,US	seoul national university,seoul,KR
university of wisconsin-madison,madison,US	seoul national university,seoul,KR
university of wisconsin-madison,madison,US	hallym university,chuncheon,KR
university of wisconsin-madison,madison,US	dongguk university,gyeongju,KR
university of wisconsin-madison,madison,US	kyung hee university,yongin,KR
utah state university,logan,US	chonnam national university,gwangju,KR
utah state university,logan,US	korea university,seoul,KR
university of kentucky,lexington,US	chonnam national university,gwangju,KR
university of kentucky,lexington,US	daegu university,gyeongsan,KR
oklahoma state university,stillwater,US	jeonbuk national university,jeonju,KR
jeonbuk national university,jeonju,KR	jeonbuk national university,jeonju,KR
jeonbuk national university,jeonju,KR	jeonbuk national university,jeonju,KR
jeonbuk national university,jeonju,KR	jeonbuk national university,jeonju,KR
jeonbuk national university,jeonju,KR	jeonbuk national university,jeonju,KR
jeonbuk national university,jeonju,KR	seonam university,namwon,KR
jeonbuk national university,jeonju,KR	seonam university,namwon,KR
national islamic university,new delhi,IN	jeonbuk national university,jeonju,KR
northwestern university,evanston,US	jeonbuk national university,jeonju,KR
northwestern university,evanston,US	yonsei university,seoul,KR
illinois institute of technology,chicago,US	jeonbuk national university,jeonju,KR
university of science and technology,daejeon,KR	jeonbuk national university,jeonju,KR
columbia university in the city of new york,new york,US	seoul national university,seoul,KR
kyushu university,fukuoka,JP	pohang university of science and technology,pohang,KR
stony brook university,stony brook,US	seoul national university,seoul,KR
baylor university,waco,US	seoul national university,seoul,KR
technical university of munich,munich,DE	seoul national university,seoul,KR
technical university of munich,munich,DE	"incheon national university,_x0008_incheon,KR
"
technical university of munich,munich,DE	gyeongsang national university,jinju,KR
university of washington,seattle,US	seoul national university,seoul,KR
university of washington,seattle,US	university of seoul,seoul,KR
ewha womans university,seoul,KR	ewha womans university,seoul,KR
stanford university,stanford,US	seoul national university,seoul,KR
stanford university,stanford,US	university of seoul,seoul,KR
university of michigan,ann arbor,US	oregon health & science university,portland,US
university of michigan,ann arbor,US	yonsei university,seoul,KR
oregon health & science university,portland,US	yonsei university,seoul,KR
university of illinois at urbana-champaign,champaign,US	sogang university,seoul,KR
university of illinois at urbana-champaign,champaign,US	sogang university,seoul,KR
university of illinois at urbana-champaign,champaign,US	hanyang university,seoul,KR
pasteur institute,paris,FR	yonsei university,seoul,KR
university of manitoba,winnipeg,CA	seoul national university,seoul,KR
university of cambridge,cambridge,UK	ewha womans university,seoul,KR
university of cambridge,cambridge,UK	ewha womans university,seoul,KR
university of chicago,chicago,US	seoul national university,seoul,KR
university of chicago,chicago,US	kyung hee university,yongin,KR
vanderbilt university,nashville,US	ewha womans university,seoul,KR
vanderbilt university,nashville,US	"incheon national university,_x0008_incheon,KR
"
vanderbilt university,nashville,US	sogang university,seoul,KR
the university of arizona,tucson,US	seoul national university,seoul,KR
the university of arizona,tucson,US	sogang university,seoul,KR
the university of arizona,tucson,US	korea university,seoul,KR
university of southern mississippi,hattiesburg,US	university of seoul,seoul,KR
johns hopkins university,baltimore,US	university of seoul,seoul,KR
johns hopkins university,baltimore,US	yonsei university,seoul,KR
johns hopkins university,baltimore,US	"incheon national university,_x0008_incheon,KR
"
johns hopkins university,baltimore,US	university of ulsan,ulsan,KR
university of california,berkeley,US	pukyong national university,busan,KR
university of erlangen-nuremberg,nuremberg,DE	university of seoul,seoul,KR
mcgill university,montreal,CA	sungshin women’s university,seoul,KR
mcgill university,montreal,CA	sogang university,seoul,KR
north carolina state university,raleigh,US	sungshin women’s university,seoul,KR
north carolina state university,raleigh,US	yonsei university,seoul,KR
sunchon national university,suncheon,KR	inje university,gimhae,KR
rhenish friedrich wilhelm university of bonn,bonn,DE	soonchunhyang university,asan,KR
louis pasteur university,strasbourg,FR	soonchunhyang university,asan,KR
pukyong national university,busan,KR	sunchon national university,suncheon,KR
pukyong national university,busan,KR	sunchon national university,suncheon,KR
pukyong national university,busan,KR	sejong university,seoul,KR
pukyong national university,busan,KR	gangneung-wonju national university,gangneung,KR
university of hawaii at manoa,honolulu,US	sunchon national university,suncheon,KR
osaka university,suita,JP	ajou university,suwon,KR
karolinska institute,solna,SE	ajou university,suwon,KR
university of ulsan,ulsan,KR	"incheon national university,_x0008_incheon,KR
"
yale university,new haven,US	yonsei university,seoul,KR
yale university,new haven,US	the catholic university of korea,bucheon,KR
university of pittsburgh,pittsburgh,US	university of science and technology,daejeon,KR
washington state university,pullman,US	yonsei university,seoul,KR
washington state university,pullman,US	sogang university,seoul,KR
washington state university,pullman,US	daegu university,gyeongsan,KR
rutgers university,newark,US	yonsei university,seoul,KR
hokkaido university,sapporo,JP	yonsei university,seoul,KR
the university of utah,salt lake city,US	"incheon national university,_x0008_incheon,KR
"
tokyo institute of technology,tokyo,JP	wonkwang university,iksan,KR
tokyo institute of technology,tokyo,JP	gangneung-wonju national university,gangneung,KR
university of tsukuba,tsukuba,JP	wonkwang university,iksan,KR
university of liverpool,liverpool,UK	wonkwang university,iksan,KR
brown university,providence,US	university of ulsan,ulsan,KR
medical college of georgia,augusta,US	university of ulsan,ulsan,KR
the university of alabama,tuscaloosa,US	ewha womans university,seoul,KR
the university of alabama,tuscaloosa,US	korea university,seoul,KR
university of alabama at birmingham,birmingham,US	ewha womans university,seoul,KR
king's college london,london,US	ewha womans university,seoul,KR
sogang university,seoul,KR	sogang university,seoul,KR
sogang university,seoul,KR	dongguk university,gyeongju,KR
loyola university chicago,chicago,US	sogang university,seoul,KR
the university of texas health science center at houston,houston,US	sogang university,seoul,KR
acadia university,wolfville,CA	sangji university,wonju,KR
university of glasgow,glasgow,UK	pukyong national university,busan,KR
university of new south wales,sydney,AU	pukyong national university,busan,KR
university of new south wales,sydney,AU	seoul national university,seoul,KR
william marsh rice university,houston,US	dongguk university,gyeongju,KR
kyoto university,kyoto,JP	korea university,seoul,KR
university of missouri,columbia,US	gyeongsang national university,jinju,KR
university of missouri,columbia,US	gyeongsang national university,jinju,KR
university of missouri,columbia,US	daegu university,gyeongsan,KR
paris-sud university,orsay,FR	gyeongsang national university,jinju,KR
university of nottingham,nottingham,UK	gyeongsang national university,jinju,KR
kansas state university,manhattan,US	gyeongsang national university,jinju,KR
university of georgia,athens,US	gyeongsang national university,jinju,KR
university of georgia,athens,US	korea university,seoul,KR
university of georgia,athens,US	korea university,seoul,KR
university of oxford,oxford,UK	kyung hee university,seoul,KR
north dakota state university,fargo,US	kyung hee university,seoul,KR
korea research institute of bioscience and biotechnology,daejeon,KR	kyung hee university,seoul,KR
kyung hee university,yongin,KR	kyung hee university,yongin,KR
university of san francisco,san francisco,US	kyung hee university,yongin,KR
kagoshima university,kagoshima,JP	gangneung-wonju national university,gangneung,KR
university of minnesota-twin cities,minneapolis,US	korea university,seoul,KR
university of minnesota-twin cities,minneapolis,US	korea university,seoul,KR
university of minnesota-twin cities,minneapolis,US	korea university,seoul,KR
university of illinois at chicago,chicago,US	korea university,seoul,KR
university of illinois at chicago,chicago,US	chonnam national university,gwangju,KOREA
university of sydney,sydney,AU	korea university,seoul,KR
university of rhode island,kingston,US	university of ulsan college of medicine,seoul,KOREA
university of colorado boulder,boulder,US	gwangju institute of science and technology,gwangju,KR
